num_course,dat_course,cod_taxi,cod_client,typ_client,typ_chauffeur,offre_commerciale,note_eval,commentaire,sentiment_global,categorie,sentiment_categorie,verbatim_cle
297871903,2024-05-01,1164,686747,45-SERVICE PRIORITAIRE,Service,Service Prio,1.00,Discours tiers mondialiste sans objet,-1.0,CHAUFFEUR_COMPORTEMENT,-1.0,Discours tiers mondialiste sans objet
297872126,2024-05-01,11308,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Chauffeur très gentil et très professionnel !,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur très gentil et très professionnel !
297872232,2024-05-01,7225,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,"Accrochage avec un cycliste sur l'île de la Cité ; ce n'était pas de mon côté et je n'ai pas vu ce qui s'est passé. Le cycliste a manifestement tapé du côté chauffeur et est tombé à terre.-Le chauffeur du taxi n'est pas descendu voir son état et lui a simplement dit par la fenêtre """" c'est ce qui arrive quand on fait des conneries """" (ou quelque chose d'approchant). Au feu d'-après, une autre voiture l'a rejoint et lui a fait observer qu'il aurait dû s'arrêter et vérifier l'état du cycliste.",-1.0,CHAUFFEUR_COMPORTEMENT,-1.0,"Accrochage avec un cycliste...Le chauffeur du taxi n'est pas descendu voir son état et lui a simplement dit par la fenêtre ""c'est ce qui arrive quand on fait des conneries"""
297872232,2024-05-01,7225,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,"Accrochage avec un cycliste sur l'île de la Cité ; ce n'était pas de mon côté et je n'ai pas vu ce qui s'est passé. Le cycliste a manifestement tapé du côté chauffeur et est tombé à terre.-Le chauffeur du taxi n'est pas descendu voir son état et lui a simplement dit par la fenêtre """" c'est ce qui arrive quand on fait des conneries """" (ou quelque chose d'approchant). Au feu d'-après, une autre voiture l'a rejoint et lui a fait observer qu'il aurait dû s'arrêter et vérifier l'état du cycliste.",-1.0,CHAUFFEUR_CONDUITE,-1.0,"Accrochage avec un cycliste...Le chauffeur du taxi n'est pas descendu voir son état et lui a simplement dit par la fenêtre ""c'est ce qui arrive quand on fait des conneries"""
297870703,2024-05-01,12814,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur très aimable et professionnel,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur très aimable et professionnel
297782923,2024-05-01,1866,695331,59-GRAND PUBLIC,Service plus,Grand Public,1.00,Non pris en charge à l'adresse par commodité du chauffeur alors que nous étions à l'heure.,-1.0,PONCTUALITE,-1.0,Non pris en charge à l'adresse par commodité du chauffeur alors que nous étions à l'heure.
297873078,2024-05-01,8260,695331,91-G7+ ET G7VAN,Service plus,Grand Public,5.00,Chauffeur hyper sympa !!!,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur hyper sympa !!!
297863325,2024-05-01,9518,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Chauffeur très sympathique,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur très sympathique
297702788,2024-04-27,5278,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Chauffeur très professionnel,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur très professionnel
297859461,2024-05-01,9202,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,"Course très agréable, chauffeur aux petits soins. Merci",1.0,CHAUFFEUR_COMPORTEMENT,1.0,"Course très agréable, chauffeur aux petits soins. Merci"
297754737,2024-05-01,8318,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Très sympa  le taxi,0.7,CHAUFFEUR_COMPORTEMENT,0.7,Très sympa le taxi
297861650,2024-05-01,2077,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Très sympathique!,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Très sympathique!
297842742,2024-04-30,4227,695331,59-GRAND PUBLIC,Service plus,Grand Public,3.00,Au téléphone avec son comptable et m'a demandé de prendre un autre taxi si je n'étais pas contente,-0.7,CHAUFFEUR_COMPORTEMENT,-0.7,Au téléphone avec son comptable et m'a demandé de prendre un autre taxi si je n'étais pas contente
297858461,2024-04-30,4648,695331,59-GRAND PUBLIC,Service,Grand Public,3.00,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire (j'ai mis cela sur le compte d'un mal entend-u).",-0.2,VEHICULE_PROPRETE,0.5,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire"
297858461,2024-04-30,4648,695331,59-GRAND PUBLIC,Service,Grand Public,3.00,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire (j'ai mis cela sur le compte d'un mal entend-u).",-0.2,CHAUFFEUR_CONDUITE,-0.4,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire"
297858461,2024-04-30,4648,695331,59-GRAND PUBLIC,Service,Grand Public,3.00,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire (j'ai mis cela sur le compte d'un mal entend-u).",-0.2,TRAJET_ITINERAIRE,-0.5,"Véhicule propre mais vétuste. Chauffeur poli mais dont la conduite esst assez brusque. Mais surtout, il n'a pas respecté ma demande d'itinéraire"
297866478,2024-05-01,4330,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,Bonjour ´|J'ai commandé un véhicule coffre + pour un vélo démonté et dans sa housse. Le véhicule qui est arrivé était une voiture classique dans laquelle il était possible de le rentrer en-rabattant l'un des dossiers arrières. |Il a refusé de prendre notre course et n'a pas voulu annuler la course alors que notre commande ne correspondait pas à ce qui a été choisi. |J'ai été-obligé de faire acheminer mon vélo par un autre moyen. |De plus il a laissé tourner le compteur ce qui a doublé ma course. |Ce comportement est inadmissible pour un service de qualité G7 au-quel nous sommes en droit d'attendre.,-0.9,ACCESSIBILITE,-0.8,"Refus de prendre notre course, n'a pas voulu annuler la course, compteur qui tourne, comportement inadmissible."
297866478,2024-05-01,4330,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,Bonjour ´|J'ai commandé un véhicule coffre + pour un vélo démonté et dans sa housse. Le véhicule qui est arrivé était une voiture classique dans laquelle il était possible de le rentrer en-rabattant l'un des dossiers arrières. |Il a refusé de prendre notre course et n'a pas voulu annuler la course alors que notre commande ne correspondait pas à ce qui a été choisi. |J'ai été-obligé de faire acheminer mon vélo par un autre moyen. |De plus il a laissé tourner le compteur ce qui a doublé ma course. |Ce comportement est inadmissible pour un service de qualité G7 au-quel nous sommes en droit d'attendre.,-0.9,PRIX_FACTURATION,-0.7,"Refus de prendre notre course, n'a pas voulu annuler la course, compteur qui tourne, comportement inadmissible."
297866478,2024-05-01,4330,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,Bonjour ´|J'ai commandé un véhicule coffre + pour un vélo démonté et dans sa housse. Le véhicule qui est arrivé était une voiture classique dans laquelle il était possible de le rentrer en-rabattant l'un des dossiers arrières. |Il a refusé de prendre notre course et n'a pas voulu annuler la course alors que notre commande ne correspondait pas à ce qui a été choisi. |J'ai été-obligé de faire acheminer mon vélo par un autre moyen. |De plus il a laissé tourner le compteur ce qui a doublé ma course. |Ce comportement est inadmissible pour un service de qualité G7 au-quel nous sommes en droit d'attendre.,-0.9,CHAUFFEUR_COMPORTEMENT,-0.9,"Refus de prendre notre course, n'a pas voulu annuler la course, compteur qui tourne, comportement inadmissible."
297866478,2024-05-01,4330,695331,59-GRAND PUBLIC,Service,Grand Public,1.00,Bonjour ´|J'ai commandé un véhicule coffre + pour un vélo démonté et dans sa housse. Le véhicule qui est arrivé était une voiture classique dans laquelle il était possible de le rentrer en-rabattant l'un des dossiers arrières. |Il a refusé de prendre notre course et n'a pas voulu annuler la course alors que notre commande ne correspondait pas à ce qui a été choisi. |J'ai été-obligé de faire acheminer mon vélo par un autre moyen. |De plus il a laissé tourner le compteur ce qui a doublé ma course. |Ce comportement est inadmissible pour un service de qualité G7 au-quel nous sommes en droit d'attendre.,-0.9,SERVICE_CLIENT,-0.8,"Refus de prendre notre course, n'a pas voulu annuler la course, compteur qui tourne, comportement inadmissible."
297874988,2024-05-01,4525,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur sympathique,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Chauffeur sympathique
297845138,2024-05-01,11896,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Une conductrice très agréable,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Une conductrice très agréable
297826761,2024-04-30,1565,689555,45-SERVICE PRIORITAIRE,Service,Service Prio,5.00,"Chauffeur d'un grand raffinement, professionnel et vraiment sympathique",0.9,CHAUFFEUR_COMPORTEMENT,0.9,"Chauffeur d'un grand raffinement, professionnel et vraiment sympathique"
297795034,2024-04-29,2880,689555,45-SERVICE PRIORITAIRE,Service,Service Prio,5.00,Chauffeur professionnel et sympathique,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Chauffeur professionnel et sympathique
297805126,2024-04-29,11110,689555,45-SERVICE PRIORITAIRE,Service plus,Service Prio,5.00,Chauffeur professionnel et sympathique,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Chauffeur professionnel et sympathique
297780395,2024-04-29,4796,689555,45-SERVICE PRIORITAIRE,Service,Service Prio,5.00,Chauffeur professionnel et sympathique,0.8,CHAUFFEUR_COMPORTEMENT,0.8,Chauffeur professionnel et sympathique
297768230,2024-05-01,1364,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur souriant sympathique prudent |Il nous a conseillé subtilement de nous déposer au terminal 4 pour gagner du temps   Conseil judicieux,0.9,CHAUFFEUR_COMPORTEMENT,0.8,Chauffeur souriant sympathique prudent. Conseil judicieux de nous déposer au terminal 4.
297768230,2024-05-01,1364,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur souriant sympathique prudent |Il nous a conseillé subtilement de nous déposer au terminal 4 pour gagner du temps   Conseil judicieux,0.9,TRAJET_ITINERAIRE,0.7,Chauffeur souriant sympathique prudent. Conseil judicieux de nous déposer au terminal 4.
297855862,2024-05-01,2753,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,As de la conduite :-),0.8,CHAUFFEUR_CONDUITE,0.8,As de la conduite :-)
297871015,2024-05-01,2275,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Chauffeur très sympathique, professionnel",0.9,CHAUFFEUR_COMPORTEMENT,0.9,"Chauffeur très sympathique, professionnel"
297812379,2024-04-29,4864,695331,59-GRAND PUBLIC,Club affaires,Grand Public,5.00,Très bonne course ! Voiture très confortable et chauffeur parfait: aimable et efficace. Bravo !,0.9,VEHICULE_CONFORT,0.8,Très bonne course ! Voiture très confortable et chauffeur parfait: aimable et efficace.
297812379,2024-04-29,4864,695331,59-GRAND PUBLIC,Club affaires,Grand Public,5.00,Très bonne course ! Voiture très confortable et chauffeur parfait: aimable et efficace. Bravo !,0.9,CHAUFFEUR_COMPORTEMENT,0.9,Très bonne course ! Voiture très confortable et chauffeur parfait: aimable et efficace.
297876048,2024-05-01,4346,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Ponctuel, voiture propre, courtois et professionnel",0.9,PONCTUALITE,0.8,"Ponctuel, voiture propre, courtois et professionnel"
297876048,2024-05-01,4346,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Ponctuel, voiture propre, courtois et professionnel",0.9,VEHICULE_PROPRETE,0.7,"Ponctuel, voiture propre, courtois et professionnel"
297876048,2024-05-01,4346,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Ponctuel, voiture propre, courtois et professionnel",0.9,CHAUFFEUR_COMPORTEMENT,0.9,"Ponctuel, voiture propre, courtois et professionnel"
297831473,2024-05-01,4286,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,"Chauffeur parfait, prêt pour le Club Affaires !",0.9,CHAUFFEUR_COMPORTEMENT,0.9,"Chauffeur parfait, prêt pour le Club Affaires !"
297831465,2024-05-01,10678,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur fort sympathique et serviable - merci et bravo,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur fort sympathique et serviable - merci et bravo
297813624,2024-04-30,8994,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Top chauffeur pro qui m'a permis de ne pas louper mon TGV|Un grand merci,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Top chauffeur pro qui m'a permis de ne pas louper mon TGV|Un grand merci
297813624,2024-04-30,8994,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Top chauffeur pro qui m'a permis de ne pas louper mon TGV|Un grand merci,1.0,PONCTUALITE,1.0,Top chauffeur pro qui m'a permis de ne pas louper mon TGV|Un grand merci
297766273,2024-04-29,3449,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Conduite efficace et très agreable,1.0,CHAUFFEUR_CONDUITE,1.0,Conduite efficace et très agreable
297876617,2024-05-01,11973,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Comme toujours le conducteur est pro et super sympa !,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Comme toujours le conducteur est pro et super sympa !
297865301,2024-05-01,4449,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,The driver was very caring and polite,1.0,CHAUFFEUR_COMPORTEMENT,1.0,The driver was very caring and polite
297812392,2024-04-30,1523,695331,51-GRAND-PUBLIC PAYANT,Service,Particulier payant,5.00,Un peu cher...,-0.3,PRIX_FACTURATION,-0.3,Un peu cher...
297864035,2024-05-01,9105,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Adorable !!!,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Adorable !!!
297868088,2024-05-01,7346,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur merveilleux et très pro,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur merveilleux et très pro
297871846,2024-05-01,931,696199,45-SERVICE PRIORITAIRE,Service plus,Service Prio,5.00,Chauffeur très sympathique qui nous conseille de meilleurs itinéraires pour arriver au plus tôt à notre destination.,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur très sympathique qui nous conseille de meilleurs itinéraires pour arriver au plus tôt à notre destination.
297871846,2024-05-01,931,696199,45-SERVICE PRIORITAIRE,Service plus,Service Prio,5.00,Chauffeur très sympathique qui nous conseille de meilleurs itinéraires pour arriver au plus tôt à notre destination.,1.0,TRAJET_ITINERAIRE,1.0,Chauffeur très sympathique qui nous conseille de meilleurs itinéraires pour arriver au plus tôt à notre destination.
297862862,2024-04-30,5912,708069,49-CLIENT VAD+ AVEC ATTENTE,Service plus,Service Prio,5.00,Très aimable,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Très aimable
297877681,2024-05-01,3872,701400,15-CLUB AFFAIRES PREMIUM,Service plus,Club Affaires,1.00,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience",-1.0,CHAUFFEUR_COMPORTEMENT,-1.0,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience"
297877681,2024-05-01,3872,701400,15-CLUB AFFAIRES PREMIUM,Service plus,Club Affaires,1.00,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience",-1.0,VEHICULE_PROPRETE,-1.0,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience"
297877681,2024-05-01,3872,701400,15-CLUB AFFAIRES PREMIUM,Service plus,Club Affaires,1.00,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience",-1.0,TRAJET_ITINERAIRE,-1.0,"Chauffeur désagréable , coffre à bagages plein et sale |Le chauffeur a refusé de donner une estimation du trajet par Waze |Mauvaise expérience"
297835797,2024-04-30,1966,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Excellent conducteur. Nous avons parlé de tout et de rien. Très sympathique,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Excellent conducteur. Nous avons parlé de tout et de rien. Très sympathique
297790771,2024-04-30,1966,695331,51-GRAND-PUBLIC PAYANT,Service,Particulier payant,5.00,Très sympathique. Nous avons discuter de nos pays respectif en toute neutralité,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Très sympathique. Nous avons discuter de nos pays respectif en toute neutralité
297848628,2024-04-30,13502,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,ultra pro et super sympa,1.0,CHAUFFEUR_COMPORTEMENT,1.0,ultra pro et super sympa
297879353,2024-05-01,10490,695331,59-GRAND PUBLIC,Service plus,Grand Public,1.00,"Grave problème de comportement du chauffeur, manque de respect, agressivité. Volonté claire d'humiliation des clients, devant un enfant.",-1.0,CHAUFFEUR_COMPORTEMENT,-1.0,"Grave problème de comportement du chauffeur, manque de respect, agressivité. Volonté claire d'humiliation des clients, devant un enfant."
297797284,2024-04-29,5307,607658,56-GRAND PUBLIC,Service plus,Grand Public,5.00,Extrêmement courtois et sympathique. Il m'a ramené mon téléphone car je l'avais oublié dans le taxi. Je le recommande vivement,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Extrêmement courtois et sympathique. Il m'a ramené mon téléphone car je l'avais oublié dans le taxi. Je le recommande vivement
297878179,2024-05-01,2809,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Chauffeur extrêmement agréable |Merci pour sa bonne humeur,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Chauffeur extrêmement agréable |Merci pour sa bonne humeur
297835498,2024-05-01,552,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Merci pour votre professionnalisme et votre accueil,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Merci pour votre professionnalisme et votre accueil
297874427,2024-05-01,13445,695331,91-G7+ ET G7VAN,Service,Grand Public,1.00,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court,-1.0,APPLICATION,-0.7,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court
297874427,2024-05-01,13445,695331,91-G7+ ET G7VAN,Service,Grand Public,1.00,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court,-1.0,ACCESSIBILITE,-0.8,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court
297874427,2024-05-01,13445,695331,91-G7+ ET G7VAN,Service,Grand Public,1.00,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court,-1.0,PRIX_FACTURATION,-0.9,Je suis un utilisateur régulier de G7 et vraiment il faut revoir la prise de commande |En effet j ai demandé une voiture pour 5 personnes et en retour de voyages on a des valises |Donc la v-oiture était limité pas assez de place|J ai communiqué le no de vol dans l appli je devais arriver au terminal 3 et je suis arrivé au terminal 2 donc longue marche et en plus il faut après-être arrivé au terminal 3 il faut traverser une route pour aller dans un parking trajet 10 min |Le vol était arrivé à l heure mais avec  à la mauvaise  qualite de livraisons baggages on  at-tendu les bagages plus de 40 min |Le résultat 131€ pour un trajet assez court
297877484,2024-05-01,13515,695331,59-GRAND PUBLIC,Service plus,Grand Public,1.00,You charged again much more than agreed. Send me co tact details please.,-1.0,PRIX_FACTURATION,-1.0,You charged again much more than agreed.
297879750,2024-05-01,11528,695331,59-GRAND PUBLIC,Service plus,Grand Public,4.00,3.30€ déjà au compteur en plus des frais de réservation (4€) alors que j'étais là quand le taxi est arrivé .... Pas top.,-0.2,PRIX_FACTURATION,-0.2,3.30€ déjà au compteur en plus des frais de réservation (4€) alors que j'étais là quand le taxi est arrivé .... Pas top.
297870423,2024-05-01,10104,695331,59-GRAND PUBLIC,Service plus,Grand Public,5.00,Je souhaiterais sincèrement remercier le chauffeur pour son attitude et son aide dans une situation difficile lors de la course. Merci à lui,1.0,CHAUFFEUR_COMPORTEMENT,1.0,Je souhaiterais sincèrement remercier le chauffeur pour son attitude et son aide dans une situation difficile lors de la course. Merci à lui
297879301,2024-05-01,13522,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Bravo et merci grâce à vous j ai eu mon TGV !!!,1.0,PONCTUALITE,1.0,Bravo et merci grâce à vous j ai eu mon TGV !!!
297879649,2024-05-01,11754,695331,59-GRAND PUBLIC,Service,Grand Public,5.00,Permis d avoir notre train merci beaucoup,1.0,PONCTUALITE,1.0,Permis d avoir notre train merci beaucoup
297878301,2024-05-01,8536,695331,59-GRAND PUBLIC,Service,Grand Public,2.00,"46€ pour un Jourdain Montparnasse un jour férié, c'est abusé|Il ne semblait pas nécessaire de prendre le périphérique ; Waze indiquait la circulation fluide partout|Et le chauffeur s'es-t déclaré arrivé alors que non ; j'imagine que j'ai payé le détour aussi...",-0.8,PRIX_FACTURATION,-1.0,"46€ pour un Jourdain Montparnasse un jour férié, c'est abusé|Il ne semblait pas nécessaire de prendre le périphérique ; Waze indiquait la circulation fluide partout|Et le chauffeur s'es-t déclaré arrivé alors que non"
297878301,2024-05-01,8536,695331,59-GRAND PUBLIC,Service,Grand Public,2.00,"46€ pour un Jourdain Montparnasse un jour férié, c'est abusé|Il ne semblait pas nécessaire de prendre le périphérique ; Waze indiquait la circulation fluide partout|Et le chauffeur s'es-t déclaré arrivé alors que non ; j'imagine que j'ai payé le détour aussi...",-0.8,TRAJET_ITINERAIRE,-0.6,"46€ pour un Jourdain Montparnasse un jour férié, c'est abusé|Il ne semblait pas nécessaire de prendre le périphérique ; Waze indiquait la circulation fluide partout|Et le chauffeur s'es-t déclaré arrivé alors que non"
